Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
1.781215496671318e-08,0.07398452601925468,3.76,0.0,0.844215203222784,0.9999999985707965,0.0,1.6201553417129584e-34,2.0485031812111746e-24,4.399793624454057e-09,1.2983742119549978e-09,1.6098594330247388e-11,1.0540628752624052e-11,2.1741876949695872e-11,1.3503194577253435e-09,2.0294263379094444e-12,3.976608948008555e-11,3.881442705033636e-11,2.136361173523774e-22,3.0326092554472594e-13,7.620063593374485e-25
1.879313450830763e-08,0.07398452602077771,3.76,0.0,0.8442152030241059,0.9999999984871362,0.0,1.9540260360296304e-34,2.1646912810279248e-24,4.639112591712585e-09,1.367666059760666e-09,1.7912709863736783e-11,1.139772067282866e-11,2.4222804823558535e-11,1.4255046252102992e-09,2.3121791957303335e-12,4.400316216502181e-11,4.3018081296541885e-11,2.520444080784966e-22,3.377087176220172e-13,9.47658483283499e-25
1.9774114049902078e-08,0.07398452602229623,3.76,0.0,0.8442152028253075,0.9999999984029986,0.0,2.334130470234962e-34,2.2807371037821226e-24,4.878139307146291e-09,1.4367547154082726e-09,1.9822829207195183e-11,1.2274771420449302e-11,2.6839745306988658e-11,1.5007816233568417e-09,2.6172877088212475e-12,4.842764095662301e-11,4.741798266000999e-11,2.9493225903944266e-22,3.740237888193612e-13,1.1657535525048386e-24
2.1736073133090975e-08,0.07398452602532007,3.76,0.0,0.8442152024273484,0.9999999982333128,0.0,3.2472229022255023e-34,2.5124068479019738e-24,5.3553271943515044e-09,1.5743369846306805e-09,2.3930613084895088e-11,1.4084700617262735e-11,3.2482737989665184e-11,1.651614240035036e-09,3.296556736585402e-12,5.782473652989009e-11,5.679578099926835e-11,3.9524805512562766e-22,4.522649653670372e-13,1.7142402394361455e-24
2.3698032216279873e-08,0.07398452602832678,3.76,0.0,0.844215202028904,0.9999999980617821,0.0,4.388379866147101e-34,2.7435237798495153e-24,5.831379328851151e-09,1.7111492187542915e-09,2.8421025169461514e-11,1.5962793389931676e-11,3.867294728251815e-11,1.8028232950585082e-09,4.0709427115441584e-12,6.792989178887405e-11,6.692669974985642e-11,5.1682694240181635e-22,5.380030343892787e-13,2.4396211725335365e-24
2.565999129946877e-08,0.07398452603131693,3.76,0.0,0.8442152016299721,0.9999999978884473,0.0,5.787375985735631e-34,2.97409589087512e-24,6.306317157258719e-09,1.8472182870435541e-09,3.3293162960928336e-11,1.7902133180176918e-11,4.5412378609873775e-11,1.9544143693721057e-09,4.943767741630228e-12,7.871667044290369e-11,7.779019447055785e-11,6.61977425140318e-22,6.312568558697981e-13,3.377682543533215e-24
2.7621950382657667e-08,0.07398452603429105,3.76,0.0,0.8442152012305503,0.9999999977133494,0.0,7.474583698286936e-34,3.20413283160462e-24,6.780161573656173e-09,1.982569858465521e-09,3.8546140745281305e-11,1.989641668441442e-11,5.2702956107128306e-11,2.1063926840729283e-09,5.918018971311565e-12,9.015959987763708e-11,8.936625646822395e-11,8.330740542922503e-22,7.320455573457986e-13,4.56795656346274e-24
2.9583909465846564e-08,0.07398452603724973,3.76,0.0,0.8442152008306368,0.9999999975365269,0.0,9.4808049364709e-34,3.4336457154576564e-24,7.252932947695123e-09,2.1172284915899187e-09,4.417908864911236e-11,2.193988779478365e-11,6.054652640783419e-11,2.258763133164656e-09,6.996385686285067e-12,1.0223411361432071e-10,1.0163538564164223e-10,1.0325578468466972e-21,8.403885209576395e-13,6.0538292274377474e-24
3.154586854903546e-08,0.07398452604019347,3.76,0.0,0.8442152004302302,0.9999999973580183,0.0,1.1837205558531919e-33,3.662644651513525e-24,7.724651125092452e-09,2.251217664797048e-09,5.019115271377654e-11,2.4027306902016763e-11,6.894485927809224e-11,2.4115302973015883e-09,8.181276918770311e-12,1.1491653812922807e-10,1.1457858991179801e-10,1.2629357175864967e-21,9.563053656834986e-13,7.882640412488878e-24
3.350782763222436e-08,0.07398452604312276,3.76,0.0,0.8442152000293289,0.99999999717786,0.0,1.4575284392261253e-33,3.891138676260053e-24,8.195335423563534e-09,2.3845597965540204e-09,5.658149514101205e-11,2.6153926185323234e-11,7.789964774324513e-11,2.564698454344248e-09,9.474835747612607e-12,1.2818408697763472e-10,1.2817738904315828e-10,1.5267797148554807e-21,1.0798159284832127e-12,1.010578103913096e-23
